server_name,tools,with_description,with_schema,mean_desc_words
io.github.davidemanuelDEV/percept,9,9,0,30.3
io.github.anthesiallc/storesignal,9,9,0,69.2
io.github.timmx7/styx-mcp-server,9,9,0,42.8
io.github.matematicsolutions/gb-eli-mcp,9,9,0,76.1
io.github.CSOAI-ORG/document-comparison-ai-mcp,9,9,0,138.8
io.github.oscal-compass/compliance-trestle-mcp,9,7,0,6.2
io.github.palewire/datawrapper-mcp,9,8,0,93.6
io.github.malkreide/lobbywatch-mcp,9,8,0,60.6
io.github.OdinBot33/cce-mcp-server,9,9,0,13.2
io.github.markswendsen-code/opentable,9,9,0,16.8
io.github.rmeadomavic/ardupilot-mavlink-mcp,9,9,0,24.2
io.github.CSOAI-ORG/memory-search-mcp,9,9,0,134.0
io.github.atul-fusionpact/fusionpact-vectordb,8,8,0,17.8
io.github.securityscan-api/securityscan,8,8,0,83.4
io.github.mansurjisan/ndbc-mcp,8,8,0,53.2
io.github.quality-network/finedata-mcp,8,3,0,1.9
ai.mentu/navigator,8,8,0,23.0
io.github.mcpwright/census-mcp,8,8,0,64.4
io.github.DemigodDSK/hubmesh,8,8,0,33.8
io.github.mcpassure/mcp-cnes,8,7,8,10.5
eu.ansvar/us-law-mcp,8,8,0,11.1
io.github.roomi-fields/rtfm,8,8,0,63.1
com.pulsemcp/proctor,8,8,0,51.5
io.github.mansurjisan/winds-mcp,8,8,0,70.6
io.github.AceDataCloud/mcp-grok,8,7,0,55.2
io.github.HewlettPackard/greenlake-users-mcp,8,8,0,32.5
io.github.mananmodi-product/caelian,8,8,0,19.0
io.github.nakulben/whatsapp-mcp,8,8,0,61.8
io.github.morinokami/astro-mcp,8,7,0,18.6
io.github.wefi-ai/ekyc-suite,8,8,0,10.4
io.github.MobileReality/mdma,8,8,0,22.4
io.github.lordbasilaiassistant-sudo/base-security-scanner-mcp,8,8,0,22.1
io.github.DesMartin01/inferenceindexer-mcp,8,8,0,33.0
io.github.mimersql/mimer-mcp,8,8,0,15.9
io.github.keshrath/agent-tasks,8,8,0,12.2
cool.qianshi/hypermarrow,8,8,0,2.0
com.feeless402/nano-pay,8,8,0,8.4
io.github.lordbasilaiassistant-sudo/base-multi-wallet-mcp,8,8,0,12.5
io.github.shigechika/zapi-mcp,8,8,0,86.9
io.github.joepangallo/web-recon-agent,8,8,0,16.4
io.github.paulieb89/pinescript-mcp,8,8,0,53.8
io.github.Artem362/memory-kernel,8,8,0,58.8
io.github.YugantM/hvtracker-mcp,8,8,0,23.9
io.github.shuji-bonji/pdf-spec-mcp,8,8,0,10.4
io.github.malamutemayhem/espn,7,7,0,5.4
io.github.mdfifty50-boop/qc-validator,7,7,0,18.9
ai.synchronex/mcp-proxy,7,7,7,9.7
io.github.oxbshw/watch-skill,7,7,0,74.1
io.github.pooriaarab/adscapi,7,7,0,24.1
io.github.philpof102-svg/xsignal,7,7,0,25.9
io.github.matematicsolutions/il-eli-mcp,7,7,0,66.3
io.github.justjlee/omnarai-mcp,7,7,0,34.1
io.github.mdfifty50-boop/agentic-observability,7,7,0,17.3
io.github.rharper105/reportcraft,7,7,0,24.1
io.github.mcande21/thealgorithms-mcp,7,7,0,34.0
io.github.malkreide/termdat-mcp,7,7,0,46.9
io.github.mdfifty50-boop/compliance-shield,7,7,0,22.4
io.github.AceDataCloud/mcp-seedream-pro,7,6,0,55.1
io.github.CWhittemore1010/penni-mcp,7,7,0,8.4
io.github.b1ff/atlassian-dc-mcp-confluence,7,7,0,15.1
io.github.CSOAI-ORG/agent-rate-limiter-mcp,7,7,0,25.4
io.github.Ivanolegvak/sonar-mcp,7,7,0,46.6
io.github.daedalus/mcp-pyright,7,7,0,61.4
io.github.Inferensys/dr-mcp,7,7,0,11.6
io.github.stepankaiser/ccphoto,7,7,0,60.6
io.github.Inferensys/contextful,7,7,0,12.9
io.github.MidOSresearch/midos,7,7,0,9.7
